"marca","marca_slug","tipo","tipo_slug","modelo","modelo_slug","url_completa"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 621g","repuestos-cargador-frontal-case-construction-621g","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-621g/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 721e","repuestos-cargador-frontal-case-construction-721e","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-721e/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 721f","repuestos-cargador-frontal-case-construction-721f","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-721f/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 721g","repuestos-cargador-frontal-case-construction-721g","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-721g/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 821e","repuestos-cargador-frontal-case-construction-821e","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-821e/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 821f","repuestos-cargador-frontal-case-construction-821f","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-821f/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction 821g","repuestos-cargador-frontal-case-construction-821g","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-821g/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Cargador Frontal Case Construction W20e","repuestos-cargador-frontal-case-construction-w20e","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-cargador-frontal-case-construction-w20e/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Para Maquinaria Pesada Excavadora Case Construction","repuestos-para-maquinaria-pesada-excavadora-case-construction","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-para-maquinaria-pesada-excavadora-case-construction/"
"Case Construction","repuestos-para-maquinaria-pesada-case-construction","Cargador Frontal","repuestos-para-maquinaria-pesada-cargador-frontal-case-construction","Repuestos Para Maquinaria Pesada Excavadora Case Construction","repuestos-para-maquinaria-pesada-excavadora-case-construction","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-case-construction/repuestos-para-maquinaria-pesada-cargador-frontal-case-construction/repuestos-para-maquinaria-pesada-excavadora-case-construction/repuestos-excavadora-case-construction-cx210b/"
