"nombre","slug","descripcion"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Repuestos para maquinaria pesada Caterpillar. Amplia disponibilidad de componentes para sus equipos, con asesoría y respaldo técnico en Colombia."
"Komatsu","repuestos-para-maquinaria-pesada-komatsu","Repuestos para maquinaria pesada Komatsu. Amplia disponibilidad de componentes para sus equipos, con asesoría y respaldo técnico en Colombia."
"Hitachi","repuestos-para-maquinaria-pesada-hitachi","Repuestos para maquinaria pesada Hitachi. Amplia disponibilidad de componentes para sus equipos, con asesoría y respaldo técnico en Colombia."
"Bobcat","repuestos-para-maquinaria-pesada-bobcat","Repuestos para maquinaria pesada Bobcat. Amplia disponibilidad de componentes para sus equipos, con asesoría y respaldo técnico en Colombia."
"Volvo","repuestos-para-maquinaria-pesada-volvo","Repuestos para maquinaria pesada Volvo. Amplia disponibilidad de componentes para sus equipos, con asesoría y respaldo técnico en Colombia."
